customer_id,age,gender,annual_income,spending_score,purchase_frequency,last_purchase_days,total_purchases,average_order_value,product_category,loyalty_years,customer_rating,churn_label,region
C001,56,Female,20661,30,11,303,106,132,Fashion,8,4.5,0,East
C002,69,Female,64843,13,10,246,103,235,Beauty,8,4.2,1,South
C003,46,Male,115673,34,17,208,43,590,Electronics,1,2.5,1,South
C004,32,Female,80963,4,9,237,98,397,Sports,9,1.9,1,South
C005,60,Female,133092,28,13,22,12,625,Beauty,0,3.9,0,North
C006,25,Female,62828,95,47,185,61,558,Fashion,1,2.2,0,South
C007,38,Male,68604,59,25,242,123,549,Food,4,1.7,1,South
C008,56,Male,30526,27,14,363,67,265,Beauty,3,4.1,0,West
C009,36,Male,88910,69,33,283,114,564,Electronics,3,2.3,0,East
C010,40,Female,45592,25,18,41,158,235,Fashion,8,4.7,0,North
C011,28,Female,48982,3,7,336,94,259,Fashion,10,4.4,1,West
C012,28,Female,20207,97,44,162,330,413,Fashion,7,4.4,0,North
C013,41,Male,120969,68,30,160,153,708,Sports,5,4.1,0,West
C014,70,Female,137181,25,17,89,32,607,Beauty,0,4.5,0,East
C015,53,Male,108733,20,11,322,34,491,Sports,1,4.2,1,West
C016,57,Male,118936,34,13,12,84,570,Electronics,5,3.4,0,North
C017,41,Male,144982,26,8,73,105,642,Electronics,10,2.2,0,South
C018,20,Female,145839,5,6,76,18,568,Food,1,4.6,0,South
C019,39,Male,88619,99,40,346,362,664,Electronics,9,4.4,0,East
C020,70,Female,49328,61,22,201,91,347,Food,4,2.9,1,North
C021,19,Female,66479,92,41,10,59,550,Fashion,1,1.2,0,North
C022,41,Male,128427,93,46,352,213,687,Food,4,3.6,1,North
C023,61,Female,40103,9,6,226,31,157,Food,5,1.2,1,East
C024,47,Male,59891,50,23,176,135,444,Fashion,5,4.7,0,South
C025,55,Male,30754,6,1,276,26,95,Electronics,5,4.8,1,West
C026,19,Male,119983,83,31,39,60,758,Fashion,1,1.8,0,East
C027,38,Male,101437,60,34,60,40,544,Fashion,1,3.7,0,West
C028,50,Female,118540,44,16,66,149,644,Food,9,1.4,0,South
C029,29,Male,92982,11,5,321,11,390,Sports,2,3.9,0,East
C030,39,Female,122747,66,25,124,144,672,Sports,5,2.4,0,South
C031,61,Female,75922,47,16,164,113,447,Beauty,7,3.7,0,West
C032,42,Female,68231,73,33,159,357,424,Fashion,10,2.5,0,North
C033,66,Female,49301,85,42,57,42,500,Electronics,0,1.6,0,North
C034,44,Female,111652,88,43,78,42,775,Fashion,0,2.6,0,West
C035,59,Male,140787,98,48,194,496,839,Sports,10,1.5,0,North
C036,45,Male,146823,86,39,285,51,871,Fashion,1,3.3,0,West
C037,33,Female,82711,3,4,15,67,378,Sports,10,1.2,0,East
C038,32,Female,61323,76,31,12,184,468,Fashion,5,3.1,0,East
C039,64,Male,38752,92,39,101,334,375,Beauty,8,4.5,0,East
C040,68,Female,117912,30,12,156,44,641,Beauty,3,4.4,1,North
C041,61,Male,102205,90,45,340,116,659,Electronics,2,4.5,1,South
C042,69,Female,118452,21,13,125,107,506,Fashion,7,4.7,0,North
C043,20,Male,33395,28,18,359,64,299,Food,2,1.4,0,North
C044,54,Male,105957,90,46,280,415,724,Fashion,9,1.5,0,South
C045,68,Male,141237,62,34,110,276,763,Fashion,8,3.2,0,South
C046,24,Female,76273,33,12,334,46,355,Food,3,4.6,0,South
C047,38,Female,147431,85,36,357,371,884,Electronics,10,4.9,0,South
C048,26,Male,111878,35,12,146,65,697,Food,4,1.2,1,North
C049,56,Female,24895,52,23,216,209,299,Food,8,2.4,0,West
C050,35,Male,139968,34,12,162,39,686,Electronics,1,1.9,1,East
C051,21,Female,135700,41,17,128,57,701,Fashion,2,4.0,0,West
C052,42,Male,96559,51,23,314,145,522,Fashion,6,3.6,0,North
C053,31,Male,30699,47,25,332,162,246,Sports,6,1.5,0,South
C054,67,Female,85061,82,40,150,221,568,Electronics,5,2.9,0,East
C055,26,Female,29715,58,28,36,147,264,Beauty,5,3.7,0,East
C056,43,Female,39169,75,39,173,51,364,Fashion,1,4.1,0,West
C057,70,Female,145436,57,27,22,258,734,Electronics,9,1.1,0,North
C058,19,Female,138413,23,17,206,19,610,Fashion,1,4.6,1,North
C059,37,Male,36163,48,22,127,80,275,Fashion,3,3.3,0,North
C060,45,Female,139264,22,9,336,31,635,Fashion,2,4.2,1,East
C061,64,Female,25782,17,11,356,114,158,Food,10,4.2,1,West
C062,24,Female,108177,69,37,217,162,648,Fashion,4,1.8,0,East
C063,61,Female,149772,11,9,96,23,708,Electronics,1,1.4,0,East
C064,25,Female,144481,94,44,164,38,863,Electronics,0,3.9,0,South
C065,64,Female,104328,15,4,148,47,572,Sports,10,1.6,1,West
C066,52,Male,135028,91,37,18,389,830,Food,10,4.4,0,South
C067,31,Female,55585,35,15,294,62,304,Fashion,4,3.9,1,North
C068,34,Male,50682,33,17,195,27,369,Sports,1,4.4,0,East
C069,53,Female,67864,84,41,151,59,519,Fashion,1,2.2,1,West
C070,67,Female,149992,16,10,365,89,528,Sports,6,2.3,0,North
C071,57,Male,104416,34,23,123,178,519,Fashion,7,3.7,1,West
C072,21,Female,75114,66,34,187,22,485,Electronics,0,1.1,1,East
C073,19,Female,147810,99,44,149,56,968,Beauty,1,3.9,0,West
C074,23,Female,58067,40,24,104,126,307,Fashion,5,4.3,0,North
C075,59,Female,62685,28,13,243,61,318,Sports,3,2.7,1,South
C076,21,Male,142262,47,22,231,53,773,Fashion,2,4.1,0,East
C077,46,Female,38073,39,20,206,30,289,Food,0,1.7,1,South
C078,35,Female,56035,70,34,198,341,425,Beauty,10,2.3,0,East
C079,43,Male,84977,73,29,337,196,521,Electronics,6,4.9,0,North
C080,61,Female,122710,20,8,87,19,568,Sports,0,4.9,0,East
C081,51,Male,110373,1,1,142,31,443,Food,10,3.1,0,South
C082,27,Male,103362,72,30,317,116,591,Food,3,4.7,0,East
C083,53,Female,110517,87,41,199,293,667,Fashion,7,3.1,0,North
C084,31,Female,85450,63,23,46,42,490,Beauty,1,2.2,0,East
C085,48,Male,30382,67,30,288,168,272,Electronics,5,2.1,1,South
C086,65,Female,24437,4,7,15,41,156,Fashion,5,4.7,0,North
C087,32,Male,90971,58,28,44,237,577,Beauty,8,1.7,1,South
C088,25,Male,84612,25,12,169,49,460,Sports,4,3.3,1,East
C089,31,Male,110355,47,19,310,194,582,Electronics,9,3.2,1,West
C090,40,Male,81929,38,24,44,95,429,Fashion,3,4.0,0,South
C091,57,Male,122411,15,10,98,66,523,Fashion,4,3.0,0,East
C092,38,Female,117518,63,27,261,256,710,Fashion,9,2.1,0,West
C093,33,Female,118864,21,12,109,127,447,Fashion,10,1.7,0,West
C094,62,Male,32329,99,48,283,207,400,Food,4,3.5,0,North
C095,35,Female,145605,57,20,343,152,709,Electronics,7,3.9,0,West
C096,64,Female,45169,53,19,104,198,407,Sports,9,3.3,0,South
C097,70,Male,107468,46,25,256,201,543,Sports,7,4.0,0,South
C098,41,Female,54594,14,15,206,16,178,Fashion,1,1.6,1,West
C099,43,Female,96957,100,40,335,255,698,Fashion,6,4.5,0,East
C100,42,Male,80631,76,38,43,270,532,Fashion,7,3.3,0,South
C101,62,Male,65033,17,5,353,63,283,Fashion,10,1.5,1,South
C102,58,Female,83133,39,14,245,93,416,Sports,5,2.8,0,North
C103,46,Female,93165,9,7,287,55,364,Fashion,4,4.4,0,East
C104,32,Male,93861,99,48,355,500,707,Food,10,4.6,1,West
C105,62,Female,72290,77,37,273,301,531,Fashion,8,2.1,0,East
C106,18,Female,114031,79,30,83,44,683,Fashion,0,3.8,0,North
C107,42,Female,51750,82,40,110,82,398,Electronics,2,1.4,0,North
C108,24,Female,115155,97,39,190,140,743,Electronics,3,1.1,0,East
C109,26,Female,60461,6,1,288,29,272,Electronics,3,3.2,0,North
C110,41,Male,93800,91,39,251,313,663,Fashion,8,3.8,0,North
C111,18,Male,98222,23,14,212,23,469,Beauty,0,4.2,1,North
C112,61,Female,132020,59,30,291,173,658,Sports,5,2.4,0,East
C113,25,Female,44226,91,37,133,265,329,Fashion,7,1.0,1,North
C114,41,Male,26721,98,41,201,269,490,Electronics,6,2.9,0,West
C115,28,Female,76154,46,19,285,206,377,Electronics,10,1.1,1,West
C116,68,Female,40609,38,15,326,29,178,Fashion,1,1.4,1,South
C117,34,Male,72130,14,7,95,43,337,Fashion,2,2.3,0,West
C118,25,Female,92909,100,46,278,49,586,Fashion,0,2.7,1,South
C119,52,Female,124211,72,33,325,267,672,Electronics,8,2.1,0,East
C120,52,Female,75249,62,29,219,189,514,Electronics,6,3.3,0,North
C121,50,Female,68895,35,19,89,12,469,Electronics,0,1.2,0,West
C122,22,Male,114473,19,16,72,55,534,Electronics,2,1.6,0,South
C123,59,Female,25656,30,17,247,80,170,Sports,3,3.8,0,East
C124,56,Male,144865,78,35,129,107,810,Electronics,3,1.6,0,South
C125,58,Male,94520,84,38,212,153,539,Fashion,4,3.6,1,North
C126,45,Female,83740,25,18,343,45,387,Food,2,1.2,1,West
C127,24,Male,84309,40,21,96,51,434,Beauty,2,2.6,0,East
C128,26,Male,49984,88,45,75,45,471,Beauty,0,1.7,0,South
C129,25,Female,138947,14,10,54,67,694,Sports,6,1.4,1,East
C130,29,Male,93822,26,19,344,193,356,Electronics,10,3.3,0,South
C131,51,Male,25901,87,41,54,395,344,Food,9,4.7,0,South
C132,50,Female,51552,22,12,218,24,180,Sports,0,1.2,1,North
C133,65,Female,111245,48,28,16,39,563,Electronics,1,2.7,0,North
C134,40,Male,51055,83,31,99,100,409,Fashion,3,3.8,0,South
C135,41,Female,57685,51,21,20,72,309,Beauty,3,2.9,0,West
C136,54,Female,93965,3,11,46,45,430,Fashion,4,4.2,0,East
C137,52,Female,34716,42,26,193,289,277,Electronics,10,1.7,0,East
C138,61,Female,134099,19,8,58,22,633,Electronics,1,4.8,0,North
C139,57,Female,31138,73,31,111,113,316,Fashion,3,2.5,0,West
C140,39,Female,55298,28,18,129,15,301,Electronics,0,2.4,1,South
C141,44,Female,71112,84,36,337,43,616,Food,1,4.5,0,North
C142,52,Female,43429,45,19,194,19,308,Sports,0,3.3,0,South
C143,18,Male,70200,71,27,340,20,534,Electronics,0,3.1,1,South
C144,52,Male,91308,78,34,326,332,568,Beauty,9,3.9,0,North
C145,54,Female,68244,63,30,8,272,497,Fashion,9,3.3,0,West
C146,64,Female,137217,73,34,29,106,740,Electronics,3,1.7,0,East
C147,31,Female,134055,19,11,112,54,498,Sports,3,3.7,0,North
C148,20,Male,121268,47,21,161,70,625,Sports,2,1.5,1,West
C149,18,Female,125441,14,4,131,19,520,Food,0,4.2,0,South
C150,22,Male,37347,38,19,188,20,182,Beauty,1,5.0,0,North
C151,43,Male,36920,53,29,163,300,316,Sports,10,2.5,0,East
C152,31,Female,51822,61,33,197,349,345,Beauty,10,2.8,0,East
C153,56,Female,66659,36,16,364,143,529,Fashion,8,1.2,1,South
C154,44,Female,60108,40,19,204,162,287,Sports,8,1.1,1,North
C155,26,Female,148955,81,39,212,175,778,Beauty,4,4.7,0,East
C156,32,Male,109099,30,17,109,165,569,Sports,9,1.5,1,North
C157,32,Female,27967,9,8,276,28,132,Electronics,0,2.8,1,East
C158,43,Male,130719,64,25,73,28,757,Fashion,0,4.3,0,South
C159,59,Female,31871,33,22,167,119,245,Food,5,4.6,0,South
C160,30,Female,114299,52,29,260,44,584,Electronics,1,3.1,1,North
C161,68,Female,97452,89,39,243,300,587,Beauty,7,3.3,0,West
C162,49,Female,94270,14,3,275,52,472,Electronics,8,3.7,0,West
C163,56,Female,53613,75,28,102,101,375,Electronics,3,4.8,0,South
C164,66,Female,48179,53,25,173,114,379,Beauty,4,3.4,0,East
C165,69,Male,140465,99,46,171,487,904,Fashion,10,3.2,0,West
C166,49,Male,72188,59,29,141,221,459,Electronics,7,1.1,1,South
C167,21,Male,75099,78,35,188,96,519,Food,2,1.3,0,East
C168,47,Male,55262,94,44,86,178,453,Food,4,3.3,0,East
C169,54,Female,98213,41,18,52,40,538,Electronics,2,4.7,0,West
C170,40,Female,137407,68,32,111,306,601,Beauty,9,4.5,0,South
C171,56,Male,38268,68,26,365,59,392,Fashion,2,4.9,0,East
C172,62,Male,97866,92,42,342,97,673,Food,2,3.1,0,East
C173,32,Male,106269,8,6,43,51,437,Fashion,6,4.2,0,North
C174,60,Female,80545,2,10,211,85,340,Food,6,4.4,0,North
C175,46,Female,123483,86,40,200,263,683,Fashion,6,3.6,0,West
C176,53,Male,112822,41,15,298,163,453,Fashion,9,2.4,0,North
C177,30,Female,92146,55,22,346,176,557,Fashion,7,2.9,0,South
C178,49,Female,91966,16,15,240,86,481,Sports,4,4.4,0,West
C179,24,Male,59922,93,42,115,169,431,Electronics,4,2.2,0,West
C180,68,Female,99364,62,22,26,77,530,Food,3,4.7,0,North
C181,39,Female,62913,48,26,299,166,433,Sports,6,1.9,1,East
C182,45,Male,117033,30,16,77,169,576,Electronics,9,4.0,0,South
C183,19,Male,124792,12,8,137,13,683,Electronics,1,3.5,0,South
C184,59,Male,139425,35,24,20,40,716,Fashion,1,4.0,0,South
C185,62,Male,75677,11,2,211,17,377,Food,3,2.7,0,West
C186,70,Female,122154,64,31,240,238,642,Electronics,7,4.7,0,South
C187,23,Female,69841,50,25,39,18,455,Fashion,0,3.5,0,East
C188,45,Male,66332,85,35,268,79,595,Food,2,2.2,0,East
C189,45,Male,112062,21,15,207,103,503,Food,6,3.6,0,North
C190,61,Male,139863,69,35,267,304,760,Fashion,8,2.1,0,South
C191,61,Male,115694,48,21,154,218,613,Fashion,10,2.2,0,West
C192,37,Female,45032,20,7,42,35,206,Sports,3,2.6,0,North
C193,47,Male,57846,67,36,11,348,445,Beauty,9,4.4,0,East
C194,28,Male,79474,44,23,294,47,462,Beauty,2,3.0,1,South
C195,45,Male,64936,33,22,98,105,432,Food,4,3.7,0,East
C196,42,Female,49794,73,38,275,43,408,Fashion,0,2.6,1,North
C197,56,Male,81588,61,27,230,59,543,Fashion,2,2.1,0,East
C198,50,Female,90984,9,3,220,46,382,Electronics,7,4.8,0,South
C199,18,Male,70331,68,36,65,20,517,Electronics,0,3.4,0,South
C200,44,Female,114397,35,18,355,205,550,Food,10,4.7,0,North
C201,69,Female,48141,81,38,232,294,464,Fashion,7,1.8,0,South
C202,30,Male,29074,98,39,328,141,446,Fashion,3,1.6,1,East
C203,58,Male,26406,88,34,52,43,316,Beauty,1,4.4,0,East
C204,20,Female,117359,96,42,263,25,812,Electronics,0,3.7,0,West
C205,56,Female,143279,65,30,267,227,759,Electronics,7,1.7,1,West
C206,23,Male,43291,8,4,359,21,173,Electronics,1,2.1,1,West
C207,25,Female,61568,45,26,317,99,345,Food,3,4.2,0,East
C208,44,Female,117539,87,40,324,98,746,Food,2,2.8,0,East
C209,26,Female,66851,47,23,154,39,408,Fashion,1,3.7,0,North
C210,54,Male,119942,40,26,358,216,618,Fashion,8,2.3,1,West
C211,50,Female,74823,76,40,140,46,546,Sports,0,2.5,0,East
